store,brand,week,logmove,profit
2,1,40,9.018695488,37.99232558
2,1,46,8.723231275,30.12666667
2,1,47,8.253227646,30
2,1,48,8.987196821,29.95
2,1,50,9.093357017,29.92
2,1,51,8.877381955,29.92
2,1,52,9.29468152,27.12547059
2,1,53,8.954673629,27.12504132
2,1,54,9.049232212,27.0824812
2,1,57,8.61323038,27.06116279
2,1,58,8.68067166,29.52108696
2,1,59,9.034080407,31.29977099
2,1,60,8.691482577,31.32591398
2,1,61,8.831711918,31.41990654
2,1,62,9.128696383,33.38666667
2,1,63,9.405907156,19.73
2,1,64,9.447150114,22.04090909
2,1,65,8.783855897,35.35313725
2,1,66,8.723231275,35.2175
2,1,67,9.957975738,25.08666667
2,1,68,9.426741242,17.07005155
2,1,69,9.156095357,43.95851351
2,1,70,9.793672687,35.01714286
2,1,71,9.14931567,31.03836735
2,1,72,8.743850562,50.15571429
2,1,73,8.841014311,48.59888889
2,1,74,9.727227587,31.65
2,1,75,8.743850562,51.31897959
2,1,76,8.979164649,51.02056452
2,1,77,8.723231275,51.144375
2,1,78,8.979164649,49.07080645
2,1,79,8.962904128,46.43147541
2,1,80,8.712759975,48.22536842
2,1,81,10.64960662,4.247481032
2,1,82,8.502688505,49.47441558
2,1,83,10.29228113,14.65275488
2,1,84,9.208739091,51.40038462
2,1,85,10.46880136,2.718090909
2,1,86,10.08313888,1.585
2,1,87,8.868413285,45.42963964
2,1,88,10.10691807,15.25733681
2,1,89,8.754002934,45.62353535
2,1,90,8.712759975,45.56778947
2,1,91,10.42037477,1.668683206
2,1,92,9.491601877,3.280869565
2,1,93,8.733594062,42.77164948
2,1,94,9.270870872,42.76216867
2,1,95,10.70710219,13.57
2,1,97,9.908276069,7.958949045
2,1,98,9.121727714,40.95
2,1,99,9.996613531,3.2
2,1,100,9.515469358,3.2
2,1,103,8.333270353,39.77892308
2,1,104,10.58213005,6.018279221
2,1,105,8.636219898,41.07954545
2,1,106,9.107642974,21.03822695
2,1,107,8.702177866,38.36702128
2,1,108,8.954673629,32.48
2,1,109,8.822322178,30.94
2,1,110,8.822322178,31.37867925
2,1,111,8.743850562,31.29204082
2,1,112,8.577723691,31.0773494
2,1,113,9.128696383,32.966875
2,1,114,8.895081532,40.39333333
2,1,115,10.44114983,12.7511215
2,1,116,8.877381955,36.45571429
2,1,117,8.712759975,47.48747368
2,1,118,8.540909718,47.488125
2,1,119,9.026417534,38.882
2,1,120,9.78290059,29.91270758
2,1,121,9.481893063,28.23121951
2,1,122,9.481893063,23.91365854
2,1,123,9.189321005,25.7872549
2,1,124,8.166216269,43.58527273
2,1,125,8.61323038,43.58186047
2,1,126,8.812843434,45.81904762
2,1,127,9.914625297,19.70550633
2,1,128,8.528330936,49.90911392
2,1,129,10.68244539,19.70622614
2,1,130,10.15533517,10.74432836
2,1,131,10.36747311,6.642816901
2,1,132,9.939626599,10.80561728
2,1,133,9.626943225,24.48704641
2,1,134,10.2433825,15.2
2,1,135,9.426741242,17.9157732
2,1,136,8.589699882,33.54
2,1,137,9.189321005,20.42509804
2,1,138,9.738612909,11.29
2,1,139,9.026417534,33.54
2,1,140,8.841014311,33.54
2,1,141,8.850230966,33.54
2,1,142,8.886270902,33.54
2,1,143,10.84972536,14.85
2,1,144,10.01108556,4.112931034
2,1,145,10.73952222,6.53
2,1,146,8.378390789,33.54
2,1,147,9.757305042,21.18
2,1,148,8.647519453,33.54
2,1,149,8.831711918,33.54
2,1,150,8.392989588,33.54
2,1,151,8.449342525,32.91
2,1,152,8.877381955,31.39
2,1,153,8.528330936,36.4521519
2,1,154,9.501217335,35.61583732
2,1,155,9.00307017,26.85102362
2,1,156,9.875910785,22.89631579
2,1,157,9.215128889,36.39216561
2,1,158,8.754002934,42.76414141
2,1,159,9.692272572,33.33881423
2,1,160,8.66974259,39.13582418
2,2,40,8.738735461,29.78046154
2,2,46,8.868413285,29.57
2,2,47,8.769040811,29.57
2,2,48,8.589699882,29.57
2,2,50,8.881836305,38.7192
2,2,51,8.723231275,37.2059375
2,2,52,8.607399459,41.26
2,2,53,8.496173824,32.61666667
2,2,54,8.476371197,30.3316
